"GDP per capita, current prices
 (U.S. dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Switzerland,19426.638,17699.844,18027.725,17865.396,17019.366,17187.864,24529.567,30520.621,32794.286,31440.365,39842.782,39811.005,40883.18,39375.507,43226.544,50292.099,48170.561,41628.731,42724.371,41759.218,38976.036,39831.997,42658.5,49520.417,54772.692,56378.928,59217.075,65370.159,74665.575,71898.31,76822.061,90938.465,86283.22,87878.542,89279.52,84230.676,82577.038,82584.384,85546.669,84474.469,86109.53,93700.472,93657.234,102865.569,110246.107,114725.257,120285.438,124458.138,130316.085
Syria,1421.836,1763.344,1784.577,1849.427,1839.915,1965.139,2284.039,2823.157,1389.823,800.859,967.145,972.175,983.575,995.061,1060.707,1133.162,1186.162,1080.812,1028.169,1043.174,1202.891,1236.897,1305.087,1208.885,1361.499,1510.392,1726.028,2016.052,2557.211,2557.267,2806.685,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,775.709,931.011,876.128,800.45,812.985,837.601,1142.825,1111.67,922.926,892.384,1050.252,920.765,788.501,1033.02,1058.931,820.593,1050.097,700.969,541.273,568.499,550.516,505.213,552.891,647.954,692.685,809.407,839.546,885.101,1125.875,1173.498,1090.263,1274.447,1262.796,1439.109,1545.253,1335.729,1470.016,1594.356,1851.025,1953.567,2181.87,2370.311,2413.087,2904.715,3205.902,3439.792,3526.02,3755.301,4001.389
Taiwan Province of China,2366.797,2691.494,2675.311,2881.66,3202.615,3293.869,4008.134,5325.173,6338.1,7575.906,8167.2,9081.901,10715.536,11256.711,12099.746,13066.128,13588.306,13948.722,12767.078,13752.716,14844.238,13357.195,13651.355,14040.597,15290.307,16427.459,16892.883,17723.704,18053.591,16904.543,19181.358,20838.589,21256.361,21945.46,22844.316,22752.991,23070.733,25061.624,25825.566,25903.168,28571.44,33186.341,32687.371,32339.701,34046.202,36098.604,38111.965,39928.977,41276.254
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,52.622,121.645,147.923,100.448,183.374,192.58,222.282,177.712,159.417,167.035,187.958,236.394,308.844,337.129,401.586,519.025,702.445,666.024,738.287,834.52,949.648,1040.15,1105.197,919.073,800.645,844.595,852.341,893.318,858.445,925.135,1066.747,1180.058,1268.331,1359.599,1458.735,1564.549,1671.533
Tanzania,602.924,699.181,778.244,772.741,682.028,596.872,732.197,350.129,324.721,271.496,211.031,237.573,213.148,190.679,195.663,221.366,266.49,307.987,370.188,370.918,380.08,377.469,382.354,401.069,428.927,459.757,491.056,551.781,683.137,693.025,732.315,768.16,867.857,970.348,1030.74,947.897,966.29,1002.869,1036.93,1077.739,1130.141,1170.909,1252.882,1326.634,1317.863,1375.679,1461.09,1567.021,1684.708
Thailand,705.484,744.913,767.41,824.445,845.08,772.393,840.315,967.712,1160.538,1338.257,1564.175,1769.043,1999.204,2209.362,2491.433,2846.59,3043.982,2468.182,1845.829,2031.165,2003.605,1893.264,2096.189,2359.116,2660.126,2894.06,3369.545,3973.019,4379.659,4213.01,5076.339,5492.115,5860.583,6168.268,5951.877,5840.05,5993.308,6593.816,7298.941,7812.886,7169.877,7227.476,7069.589,7297.985,7731.304,8242.551,8718.003,9185.93,9697.607
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,420.946,539.594,520.99,534.192,471.231,483.242,462.124,538.952,628.632,689.276,819.147,947.257,1031,1213.651,1233.582,1332.702,1358.284,1293.236,1248.543,1595.876,1673.492,2763.794,3682.474,1497.408,1486.876,1572.177,1661.011,1755.139,1855.041
Togo,706.783,567.856,461.822,425.523,377.995,383.932,521.836,594.487,641.99,611.524,715.236,686.607,699.731,536.718,414.629,523.522,550.724,542.959,499.32,486.879,402.18,388.651,435.683,526.449,547.7,539.198,540.082,621.808,735.775,737.152,722.819,803.341,782.049,847.4,877.419,770.221,792.222,813.108,873.964,848.341,876.511,964.325,919.575,1004.466,1060.824,1116.104,1174.709,1229.604,1286.809
Tonga,770.303,850.554,843.209,818.461,854.275,802.926,959.286,1037.126,1213.22,1461.359,1498.504,1750.858,1832.835,1884.492,1948.137,2123.283,2228.293,2263.661,2153.245,2017.943,2066.545,1819.632,1828.634,2015.247,2288.897,2581.93,2865.259,2919.693,3360.507,3040.244,3561.484,4014.77,4581.885,4408.998,4325.614,4319.442,4178.289,4577.988,4784.368,5092.873,4887.486,4695.159,4977.965,5487.667,5842.06,6122.056,6368.7,6600.376,6843.706
Trinidad and Tobago,5847.707,6454.418,7393.152,6939.437,6831.216,6411.214,4121.173,4085.591,3798.754,3625.717,4221.813,4392.869,4474.142,3743.583,4027.423,4322.255,4658.874,4632.813,4872.619,5479.934,6545.953,7046.379,7162.514,8931.032,10442.168,12471.953,14280.042,16765.857,21448.701,14777.395,16957.433,19300.833,19962.219,20822.965,21414.318,19340.181,16847.45,16943.237,17242.203,16600.892,14435.66,17004.777,21252.661,19621.786,20739.033,21267.028,21566.985,21851.907,22132.23
Tunisia,1482.823,1390.414,1309.899,1322.84,1286.6,1271.845,1312.226,1382.408,1411.506,1386.015,1716.723,1769.744,2070.007,1903.681,1997,2261.968,2411.883,2318.983,2407.491,2505.878,2322.277,2365.245,2460.779,2897.197,3265.224,3350.785,3536.507,3963.791,4519.745,4333.153,4343.057,4471.694,4345.815,4419.705,4511.282,4060.695,3890.127,3656.508,3661.194,3556.377,3573.836,3884.708,3822.295,4190.603,4335.626,4417.916,4554.5,4682.676,4827.796
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,404.158,2257.197,1863.238,2356.558,936.729,1038.945,1094.019,1456.531,1874.556,2559.362,3177.653,4129.701,5078.352,6077.575,7486.018,8978.757,7351.644,6821.548,6838.338,8517.452,9464.678,9559.959,10157.395,7916.927,7390.1,8120.517,8438.284,8917.983,8776.556,10463.055,12379.58,12934.243,14184.088,15497.509,16962.072,18605.456,20446.444
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1741.529,2075.674,2385.564,2348.707,2464.219,2865.977,3186.846,2759.034,3133.042,3777.342,3609.113,3615.373,3583.652,3396.69,3798.272,4255.25,4498.998,5046.827,4820.26,5571.914,5452.057,5772.918,6113.457,6467.695,6792.574,7127.943,7458.902
"Türkiye, Republic of",2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,3691.37,3818.769,4261.644,3026.717,3880.859,4099.228,4221.923,4384.471,4020.272,4237.961,3082.899,3617.23,4684.698,6015.665,7350.887,7961.078,9640.571,10778.131,8941.404,10533.45,11221.402,11637.915,12488.968,12079.287,10973.586,10891.19,10628.898,9514.047,9145.817,8612.903,9663.877,10621.965,13383.924,15368.271,15898.606,16317.087,16832.407,17332.694
Uganda,664.574,1044.13,703.042,779.82,581.032,514.181,494.509,768.935,767.651,599.952,472.193,238.48,216.036,247.107,346.255,401.893,401.413,423.918,402.455,370.515,355.466,347.812,361.953,361.772,430.758,483.032,527.739,634.361,784.496,815.808,808.713,872.039,950.574,964.833,1008.018,839.308,837.468,838.341,879.342,951.523,920.065,1005.078,1103.109,1163.034,1247.872,1333.952,1404.632,1465.248,1540.651
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,427.863,677.261,740.97,752.339,914.348,1037.893,874.265,664.99,664.376,784.864,885.315,1055.946,1374.656,1839.515,2319.286,3101.388,3944.724,2557.279,2982.814,3587.405,3874.152,4051.42,3119.576,2134.773,2200.851,2655.99,3118.258,3688.953,3780.075,4874.309,4606.798,5224.586,5530.613,5651.564,5901.294,5988.347,6198.142
United Arab Emirates,41311.881,42237.276,36927.264,32717.479,29957.847,27912.523,21198.712,22345.786,19032.876,21142.453,27484.598,25577.028,25833.806,25033.005,25737.492,26309.298,29821.12,29909.645,26571.562,27833.669,34386.178,32621.364,32790.74,35017.316,39301.136,43983.848,44313.566,41466.918,39073.38,30920.369,36324.592,42986.879,45108.027,46207.448,47063.628,41422.602,40483.337,41971.753,45591.68,43981.605,37648.963,43438.523,51399.958,50602.325,52406.862,53813.014,55450.244,57273.761,59306.499
United Kingdom,10737.621,10442.314,9938.569,9464.699,8952.368,9499.687,11558.572,14337.544,17400.678,17668.685,20933.055,21762.326,22422.653,20041.695,21489.717,23204.632,24466.578,26788.332,28306.433,28793.321,28347.704,27897.127,30129.415,34516.913,40434.576,42170.81,44613.883,50457.549,47918.324,38969.675,39736.208,42147.693,42489.953,43492.461,47476.188,45085.336,41275.864,40666.831,43377.759,42797.258,40347.364,46421.611,45461.066,48912.776,52426.295,55731.923,59189.816,62613.31,65893.77
United States,12552.943,13948.701,14404.994,15513.679,17086.441,18199.32,19034.766,20000.968,21375.999,22814.077,23847.977,24302.776,25392.931,26364.192,27674.021,28671.48,29946.973,31440.087,32833.666,34496.241,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53245.516,55083.507,56729.681,57839.992,59878.72,62787.782,65077.295,63577.341,70159.774,76343.247,80412.41,83062.621,85876.648,88935.38,92051.711,95301.969
Uruguay,4157.553,4608.557,3743.307,2041.642,1929.09,1873.063,2312.365,2876.92,2958.929,3101.177,3588.34,4299.367,4911.064,5683.683,6557.811,7207.021,7612.913,7959.731,8364.608,7847.88,7432.339,6803.597,4441.095,3941.678,4476.943,5663.499,6377.451,7622.824,9857.304,10232.122,12943.943,15341.308,16325.41,18271.525,18109.936,16791.911,16544.82,18626.981,18604.958,17636.703,15198.368,17333.608,20022.144,21377.631,22658.591,23720.755,24766.304,25805.764,26847.659
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,209.573,315.613,366.873,561.752,754.528,772.325,773.322,868.991,702.209,587.633,481.995,499.329,585.221,689.391,811.157,1048.715,1324.54,1523.417,1777.487,2067.524,2284.525,2440.258,2651.384,2761.29,2712.808,1932.763,1618.967,1812.738,1776.267,2013.971,2279.972,2509.156,2710.041,3015.593,3375.339,3778.852,4242.468
Vanuatu,1053.849,956.137,930.89,931.689,1111.403,976.747,918.675,989.126,1092.048,1054.904,1141.043,1333.385,1357.696,1277.011,1422.849,1479.565,1511.705,1537.62,1441.112,1435.664,1422.228,1317.091,1313.463,1542.059,1743.287,1824.505,1985.275,2308.554,2540.715,2519.625,2719.254,3007.564,2934.853,2940.193,2947.953,2771.657,2844.132,3158.901,3256.353,3187.38,3341.002,3017.666,3325.15,3491.863,3658.322,3799.225,3899.808,3997.477,4078.09
Venezuela,4671.078,5085.58,5041.589,4883.234,3447.45,3472.186,3488.564,2619.24,3292.792,2378.158,2492.939,2685.293,2968.496,2876.077,2741.979,3559.77,3174.631,3778.537,3970.433,4133.37,4820.646,4963.916,3778.255,3266.095,4311.999,5421.656,6646.803,8538.102,11079.069,9557.55,11158.18,10934.275,12688.11,8692.955,7107.443,4096.971,3676.384,3806.656,3529.72,2624.411,1566.602,2090.398,3421.754,3474.332,3691.638,no data,no data,no data,no data
Vietnam,652.593,318.521,414.347,612.565,1044.409,318.956,705.99,856.91,464.581,123.364,121.715,141.111,178.973,234.983,285.953,358.661,419.063,449.338,448.119,465.248,498.579,513.197,546.555,610.357,756.981,873.136,996.255,1152.267,1446.562,1481.442,1628.013,1949.826,2197.619,2369.973,2566.854,2581.907,2720.168,2957.899,3216.254,3439.102,3548.892,3753.428,4086.519,4316.336,4636.367,5036.973,5429.039,5840.26,6281.35
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1227.237,1322.057,1296.081,1350.947,1416.578,1441.889,1412.75,1275.685,1102.5,1197.161,1350.906,1461.093,1480.704,1563.701,1913.316,2061.558,2406.261,2711.917,2888.598,3122.985,3158.599,3084.132,3325.846,3407.307,3353.225,3442.754,3044.744,3464.383,no data,no data,no data,no data,no data,no data,no data
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,963.773,1075.877,1268.268,1477.991,1835.045,807.991,396.847,405.612,364.22,427.779,526.881,521.697,551.194,591.218,677.899,796.361,881.275,970.82,1170.964,1061.415,1267.555,1303.586,1369.687,1519.342,1579.558,1508.382,1083.887,905.181,710.384,702.286,633.311,590.136,706.679,617.67,628.498,707.38,779.708,833.442,889.102
Zambia,764.919,764.864,715.135,598.533,477.314,439.344,293.871,353.589,578.18,597.885,542.462,475.448,452.218,431.614,431.567,437.482,404.235,471.141,377.518,353.893,364.026,379.713,399.099,452.287,556.05,720.204,1066.02,1133.672,1393.78,1151.193,1469.239,1644.13,1729.58,1840.665,1724.805,1307.536,1250.324,1495.751,1475.2,1268.121,956.832,1137.344,1485.788,1435.89,1468.769,1543.307,1625.537,1712.3,1806.906
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1036.534,936.263,748.65,702.439,714.032,717.092,849.876,881.223,1029.202,1003.834,969.824,964.08,922.878,822.472,806.898,764.632,677.881,646.558,553.376,790.352,975.851,1131.675,1310.442,1421.696,1415.278,1425.466,1444.716,1481.241,2529.401,1747.346,1771.29,2323.09,1990.93,2005.875,2856.539,2962.04,2952.871,2722.861,2772.403
Africa (Region),no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1084.162,973.976,946.207,921.164,880.737,1022.934,1114.199,1127.96,1113.825,900.054,900.146,851.157,848.238,998.822,1167.057,1339.252,1506.701,1706.668,1944.551,1800.418,2050.024,2231.787,2320.378,2345.351,2369.607,2110.298,1956.895,1915.312,2001.195,2001.224,1886.892,2058.283,2157.398,2044.409,2079.88,2209.349,2330.819,2454.721,2592.564
Asia and Pacific,967.898,1016.459,970.507,1012.764,1055.624,1056.643,1318.506,1536.566,1800.837,1838.401,1882.879,2040.822,2154.125,2388.1,2545.435,2849.244,2739.857,2598.534,2288.778,2509.151,2652.886,2444.831,2467.594,2720.962,3035.255,3245.298,3435.52,3887.563,4348.609,4422.773,5112.83,5816.497,6114.244,6145.286,6304.746,6193.753,6384.362,6777.094,7208.036,7328.313,7296.251,8271.693,8279.717,8388.461,8783.015,9324.478,9870.042,10413.045,11013.391
Australia and New Zealand,10356.048,11665.312,11405.366,10821.992,11622.009,10287.225,10762.386,12696.785,15814.651,17360.179,17975.573,17624.511,17051.633,16630.309,18883.249,20248.845,22379.566,22217.48,19456.94,20680.54,19741.776,18515.144,20688.276,26136.036,31496.903,34735.567,35970.586,42959.889,46307.676,42891.724,52773.236,62508.584,63808.773,61495.513,58834.557,49281.194,49805.529,53601.584,54135.687,52327.689,51142.812,61351.091,61942.727,60969.72,60091.319,62567.106,64966.356,67329.479,69699.966
Caribbean,1536.75,1647.903,1800.345,1769.429,1751.205,1762.454,1651.84,1530.607,1527.029,1611.07,1730.379,1699.244,1657.735,1685.238,1883.457,2252.444,2398.267,2553.844,2706.852,2844.816,2952.167,2941.232,3014.993,3080.494,3374.798,3773.073,4065.959,4540.636,5060.923,4396.871,4654.997,4985.557,5168.862,5245.384,5299.478,5138.504,4796.026,4932.353,5109.707,5010.435,4304.952,5129.968,6077.16,6503.709,7014.018,7398.202,7800.185,8023.961,8249.137
Central America,1300.384,1258.892,1238.955,1262.488,1452.967,1218.009,1105.112,1147.912,1127.291,1233.059,1144.891,1295.33,1440.6,1554.384,1583.814,1727.107,1809.606,1934.184,2053.86,2041.856,2128.538,2202.399,2280.452,2195.599,2308.001,2719.5,2934.293,3287.848,3644.773,3585.592,3928.372,4344.354,4607.539,4816.7,5064.175,5346.849,5564.853,5810.774,5956.654,6099.981,5576.331,6270.728,6976.441,7591.082,7993.51,8396.546,8819.96,9263.109,9725.968
Central Asia and the Caucasus,2133.685,2113.068,1876.637,1753.332,1668.464,1835.181,1983.05,2260.66,2333.225,2707.896,3738.161,no data,1911.941,2238.904,1670.342,2182.672,2340.272,2433.392,2524.398,2336.649,2452.981,no data,1988.413,2521.082,3221.958,3958.458,4481.019,5509.872,6272.52,5338.628,6290.767,6989.747,7316.286,7841.508,7609.399,6708.144,6293.224,6247.351,5794.311,5698.703,5344.56,5998.018,no data,9549.576,10752.205,11217.543,11616.251,12084.045,12578.902
East Asia,1345.555,1427.812,1337.44,1438.817,1507.113,1556.794,2105.059,2508.344,3020.931,3067.105,3081.572,3456.514,3773.513,4274.071,4590.83,5148.959,4803.995,4519.661,4104.02,4576.908,4925.666,4537.436,4526.851,4907.489,5407.63,5683.568,5903.895,6489.532,7397.996,7726.821,8779.033,10077.523,10736.947,10775.243,11174.207,11209.243,11595.274,12256.851,13346.599,13620.267,13908.413,15855.255,15365.98,15289.191,15951.242,16965.443,17984.838,18966.173,20077.761
Eastern Europe ,2063.921,2175.798,2332.853,2341.23,2241.265,2207.106,2267.738,2309.591,2727.925,no data,no data,no data,944.571,1439.892,1907.161,2359.62,2695.297,2763.67,2416.891,2105.377,2298.592,2615.675,2973.747,3647.038,4663.873,5729.575,6969.475,9033.306,11319.53,8864.446,10044.335,11911.984,12095.623,12663.891,11925.6,8993.178,8825.928,10319.623,11290.986,11614.676,10974.726,13135.439,14880.514,14934.079,15669.02,16300.228,17024.562,17593.168,18167.724
Europe,9004.511,8073.345,7795.615,7575.602,7264.144,7501.073,10066.525,12336.215,13769.203,no data,no data,no data,13244.566,12165.338,13071.52,14823.11,15166.835,14210.979,14455.498,14368.205,13504.16,13734.739,15013.907,18213.434,21135.344,22350.78,24116.116,28057.526,30788.126,26982.243,27386.208,30088.235,28752.429,29909.246,30332.677,25993.32,25943.764,27561.834,29701.873,29285.531,28330.916,32355.134,32504.17,34705.974,36589.117,38270.453,39932.652,41316.436,42719.774
Middle East (Region),5320.827,5662.214,5345.187,5261.506,5012.865,4859.237,4799.205,5624.702,5802.807,6407.311,7895.831,5413.161,3306.375,3522.642,3755.61,4123.675,4650.337,4891.616,4749.397,5418.974,6557.204,6110.657,4739.471,4543.871,5297.785,6304.651,7236.977,8361.706,10185.919,8828.42,10230.597,13272.852,12807.086,12993.342,13031.889,11076.524,10939.838,11563.327,11935.923,11377.529,9666.817,11533.527,13751.792,13328.237,13716.997,14066.009,14393.197,14760.022,15116.418
North Africa,1582.812,1471.645,1483.163,1508.806,1518.302,1634.256,1647.734,1855.22,1908.965,2097.807,2091.266,1558.155,1552.823,1515.714,1483.915,1603.614,1746.337,1759.598,1779.721,1850.665,1914.575,1843.826,1673.831,1832.94,2036.999,2324.981,2633.241,3019.416,3656.28,3381.186,3752.593,3926.835,4406.525,4336.307,4304.225,3990.464,3896.145,3384.306,3546.556,3732.87,3714.482,4016.338,4330.108,4145.967,4036.716,4313.393,4579.367,4861.798,5169.617
North America,10499.946,11739.817,11769.545,12449.095,13636.896,14422.67,14781.614,15592.565,16807.485,18020.686,18877.575,19347.5,20152.195,20996.141,21902.751,22157.646,23177.292,24441.694,25389.439,26772.051,28395.261,29008.062,29606.968,30750.107,32634.481,34750.692,36712.853,38309.417,38881.971,36984.959,38749.909,40238.293,41412.283,42499.325,43610.712,43784.932,44169.08,45839.363,47945.24,49479.265,47845.806,53184.981,57707.777,60859.128,63064.168,65198.866,67467.543,69773.361,72185.226
Pacific Islands ,1419.646,1376.432,1284.997,1234.133,1163.534,1062.668,1135.809,1200.087,1486.96,1420.551,1322.036,1471.028,1580.119,1723.93,1868.525,1713.1,1788.646,1693.255,1309.657,1255.27,1194.274,1067.367,1047.767,1265.773,1432.037,1607.885,1738.639,1923.673,2200.042,2056.798,2341.532,2775.081,3049.779,3023.196,3199.423,2969.215,2853.952,3056.382,3168.1,3158.682,2918.882,2453.042,2827.567,2844.221,2919.48,2923.501,2924.802,2975.054,3030.178
South America,2429.527,2385.134,1976.594,1813.964,1740.744,1883.545,2084.722,2169.565,2371.799,2550.116,2793.12,2834.811,2979.248,3162.495,3701.731,4555.249,4780.365,5005.718,4867.528,3877.765,4046.42,3667.64,2848.775,3030.866,3615.374,4561.202,5481.491,6740.201,8098.527,7712.579,9768.779,11328.926,11350.52,11201.459,10814.939,8752.209,8434.345,9480.417,8899.232,8411.229,6860.402,7857.984,8995.745,9630.557,10031.097,10339.251,10740.273,11257.206,11737.24
South Asia,292.219,303.347,307.1,315.893,310.371,327.389,337.556,364.938,382.648,381.091,399.494,356.044,369.187,359.095,396.269,432.144,457.299,468.974,465.989,483.009,485.804,487.91,503.276,575.243,655.512,735.683,817.263,1017.934,1020.979,1095.198,1315.907,1406.012,1406.752,1426.71,1542.791,1595.661,1713.062,1929.56,1962.653,2008.533,1894.376,2188.48,2330.193,2468.274,2646.873,2877.183,3126.597,3397.062,3689.891
Southeast Asia,776.974,767.274,799.039,803.125,893.281,747.622,759.108,803.863,820.818,854.571,949.644,1047.244,1168.939,1288.455,1448.178,1656.909,1806.815,1686.398,1026.913,1187.915,1249.721,1189.509,1309.148,1454.198,1622.866,1786.022,2111.57,2488.493,2860.372,2791.612,3411.386,3915.591,4106.764,4198.345,4185.706,4018.403,4164.492,4444.94,4718.133,4946.212,4674.702,5067.709,5391.621,5687.844,6074.783,6498.719,6928.756,7374.33,7840.773
Sub-Saharan Africa (Region) ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,851.43,840.018,808.812,786.958,745.564,893.207,974.052,989.042,968.486,694.224,683.299,640.913,675.077,825.485,988.158,1138.48,1279.404,1444.776,1606.133,1490.505,1719.121,1906.001,1922.36,1968.296,2005.784,1759.022,1597.433,1642.071,1716.29,1686.371,1557.429,1709.367,1774.735,1677.641,1741.562,1849.024,1949.521,2050.745,2164.475
Western Europe,10528.524,9371.955,9003.604,8740.792,8387.184,8688.554,11819.891,14594.519,16252.226,16463.212,20309.987,21470.327,23240.276,21030.253,22248.368,25461.107,25876.362,24278.944,24988.676,24958.423,23116.195,23189.631,25140.843,30345.32,34726.903,35924.666,38000.019,43337.48,46289.946,41324.829,41030.82,44306.092,41728.204,43296.825,44562.933,39070.711,39043.766,40693.028,43646.516,42599.105,41326.352,46645.892,45177.286,48784.08,51445.324,53855.138,56129.234,58063.576,59988.446
Western Hemisphere (Region),6715.11,7342.386,7174.795,7449.625,8033.453,8478.547,8720.163,9156.494,9850.92,10541.043,11073.951,11349.291,11818.41,12322.254,12937.563,13416.889,13997.327,14730.773,15147.139,15431.009,16322.99,16457.159,16404.842,17038.256,18229.298,19709.286,21091.079,22445.93,23324.796,22173.607,23926.033,25353.117,25961.094,26448.617,26851.211,26074.324,26135.093,27424.778,28257.792,28807.683,27288.11,30408.766,33199.612,35082.002,36362.146,37557.256,38855.729,40214.956,41609.687
ASEAN-5,805.418,866.53,885.289,845.602,862.837,817.233,780.527,806.567,912.212,1023.486,1141.981,1256.296,1399.414,1538.094,1726.297,1967.975,2143.223,1988.208,1282.55,1496.561,1572.177,1487.217,1644.355,1821.529,2011.471,2199.273,2607.165,3074.119,3492.116,3385.137,4177.487,4742.031,4934.317,5009.992,4941.123,4715.428,4889.034,5213.511,5513.448,5771.691,5361.577,5882.641,6249.703,6597.204,7046.335,7527.395,8017.131,8522.837,9048.701
Advanced economies,10308.953,10393.803,10251.829,10602.027,11026.14,11544.87,14017.159,16206.809,18193.896,18845.65,20980.023,22206.975,23452.532,23286.091,24838.835,26932.729,26950.784,26263.189,26205,27433.364,27733.465,27274.175,28276.648,31528.421,34770.004,36354.823,37985.876,41221.389,43258.493,40570.265,42154.363,45011.518,44632.763,44832.244,45647.709,42967.254,43894.075,45602.87,48077.036,48349.97,47219.637,52474.214,53128.701,55920.76,58171.865,60674.347,63127.205,65438.953,67903.329
Emerging and Developing Asia,361.729,352.719,353.144,366.48,378.127,360.857,362.74,389.352,426.568,446.229,441.239,437.116,486.681,541.64,556.7,655.547,731.074,748.254,672.799,728.606,772.375,804.948,870.907,981.329,1125.277,1285.626,1508.12,1891.666,2253.046,2424.405,2893.486,3420.24,3730.868,4043.685,4325.911,4460.275,4542.842,4950.534,5414.995,5602.592,5633.576,6578.375,6712.339,6772.065,7136.806,7623.278,8134.44,8646.699,9195.908
Emerging and Developing Europe,2089.093,2152.929,2164.789,2122.689,2026.148,2066.026,2158.702,2290.672,2573.753,no data,no data,no data,1371.633,1847.157,2020.149,2425.306,2734.116,2827.318,2512.048,2180.52,2410.683,2467.931,2807.419,3466.323,4485.037,5583.153,6670.665,8554.518,10518.797,8205.945,9567.682,11198.787,11538.691,12155.969,11416.048,8831.275,8633.085,9737.883,10149.625,10327.738,9680.913,11493.996,13114.538,13534.058,14458.286,14970.428,15536.88,16019.163,16497.771
Emerging market and developing economies,885.7,909.671,843.608,812.812,798.028,792.001,794.766,858.57,928.752,994.67,1069.222,994.319,955.32,1068.869,1132.996,1278.8,1404.593,1466.987,1380.91,1318.618,1424.051,1411.125,1378.761,1528.02,1790.44,2111.493,2463.893,2995.563,3544.956,3341.4,3963.806,4619.364,4818.41,5043.458,5136.287,4765.292,4708.569,5088.411,5363.933,5414.923,5151.745,5971.517,6357.249,6454.751,6771.79,7130.2,7505.24,7883.202,8280.393
Euro area,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19403.709,21320.845,19289.703,20305.942,23907.717,24220.822,21702.671,22061.824,22046.82,20041.027,20285.207,22037.927,26997.512,30789.296,31756.198,33586.553,38527.676,42140.674,38320.873,37429.211,40426.457,37412.152,38951.153,39684.618,34212.154,34950.556,36938.566,39865.205,39000.77,37915.127,42404.398,40819.144,44566.391,46925.525,49066.739,50981.078,52480.132,53943.373
European Union,8551.64,7525.547,7271.924,7090.118,6811.605,7000.014,9572.726,11705.068,12891.149,13071.482,15991.456,16961.557,18204.889,16315.755,17285.463,19552.684,19842.223,18201.041,18744.739,18628.008,17066.182,17303.545,18868.09,23119.124,26484.175,27544.487,29295.782,33836.256,37343.114,33722.254,33260.463,35927.873,33338.579,34762.658,35535.47,30697.965,31380.778,33313.276,36019.757,35289.773,34513.79,38842.426,37529.182,41114.208,43300.47,45374.572,47289.855,48846.217,50338.948
Latin America and the Caribbean,2543.768,2691.945,2153.383,1913.325,1952.746,2057.34,1991.042,2079.511,2305.511,2542.509,2806.165,2975.498,3205.204,3556.132,3945.391,4155.064,4419.167,4764.836,4738.599,4197.905,4528.593,4361.712,3818.743,3829.212,4329.285,5186.002,6007.415,7032.891,8080.499,7372.988,9065.326,10354.076,10410.162,10423.657,10220.07,8573.237,8179.021,9015.708,8730.299,8472.508,7048.44,8094.673,9173.718,10189.657,10770.643,11135.346,11567.876,12070.56,12560.789
Major advanced economies (G7),11273.594,11552.34,11434.485,12001.58,12567.249,13253.532,15948.954,18233.281,20381.253,21006.93,23036.938,24462.629,26061.068,26384.886,28020.339,30371.055,30130.959,29552.47,29768.442,31201.302,31750.999,31186.652,31964.131,35080.227,38310.838,39755.216,41220.322,44015.947,45898.17,43475.438,44933.933,47527.571,47533.25,47333.164,48236.343,46063.98,47115.45,48545.525,51059.568,51793.937,50492.169,55508.112,56600.092,59643.254,62009.699,64642.72,67248.814,69713.823,72374.02
Middle East and Central Asia,2072.125,2142.044,2065.611,2039.817,2003.369,2003.355,1985.727,2288.888,2348.431,2613.542,3125.792,2205.049,1338.5,1437.537,1489.935,1655.855,1844.274,1915.344,1882.768,2067.577,2378.475,2254.294,1812.54,1963.787,2309.21,2760.317,3224.376,3777.211,4540.877,3989.352,4581.373,5523.216,5468.369,5535.759,5541.547,4845.771,4689.056,4718.331,4826.936,4641.97,4070.079,4688.849,5699.162,5536.376,5665.879,5879.257,6082.398,6307.168,6544.966
